ID,Goods,,,
1,柑橘类水果,,,果蔬
1,人造黄油,,,米粮调料
1,即食汤,,,熟食
1,半成品面包,,,西点
2,咖啡,,,非酒精饮料
2,热带水果,,,果蔬
2,酸奶,,,食品类
3,全脂牛奶,,,非酒精饮料
4,奶油乳酪,,,西点
4,肉泥,,,肉类
4,仁果类水果,,,果蔬
4,酸奶,,,食品类
5,炼乳,,,米粮调料
5,长面包,,,非酒精饮料
5,其他蔬菜,,,果蔬
5,全脂牛奶,,,非酒精饮料
6,腐蚀性清洁剂,,,百货
6,黄油,,,米粮调料
6,白饭,,,熟食
6,全脂牛奶,,,非酒精饮料
6,酸奶,,,食品类
7,面包卷,,,西点
8,瓶装啤酒,,,酒精饮料
8,开胃酒,,,酒精饮料
8,其他蔬菜,,,果蔬
8,面包卷,,,西点
8,超高温杀菌的牛奶,,,非酒精饮料
9,盆栽,,,百货
10,谷物,,,米粮调料
10,全脂牛奶,,,非酒精饮料
11,瓶装水,,,非酒精饮料
11,巧克力,,,零食
11,其他蔬菜,,,果蔬
11,热带水果,,,果蔬
11,白面包,,,西点
12,瓶装水,,,非酒精饮料
12,黄油,,,米粮调料
12,柑橘类水果,,,果蔬
12,凝乳,,,米粮调料
12,碗碟,,,百货
12,面粉,,,米粮调料
12,热带水果,,,果蔬
12,全脂牛奶,,,非酒精饮料
12,酸奶,,,食品类
13,牛肉,,,肉类
14,冷冻热狗肠,,,肉类
14,面包卷,,,西点
14,苏打,,,非酒精饮料
15,鸡,,,肉类
15,热带水果,,,果蔬
16,黄油,,,米粮调料
16,水果/蔬菜汁,,,非酒精饮料
16,报纸,,,百货
16,糖,,,米粮调料
17,水果/蔬菜汁,,,非酒精饮料
18,包装水果/蔬菜,,,果蔬
19,巧克力,,,零食
20,特制门锁,,,百货
21,其他蔬菜,,,果蔬
22,酪,,,西点
22,糕点,,,西点
23,全脂牛奶,,,非酒精饮料
24,奶油乳酪,,,西点
24,一般清洁剂,,,百货
24,报纸,,,百货
24,融化奶酪,,,米粮调料
24,热带水果,,,果蔬
25,浴室清洁剂,,,百货
25,糖果,,,零食
25,面粉,,,米粮调料
25,冷冻甜点,,,肉类
25,其他蔬菜,,,果蔬
25,面包卷,,,西点
25,根茎类蔬菜,,,果蔬
25,咸点心,,,西点
25,甜食,,,西点
25,热带水果,,,果蔬
25,威化饼,,,西点
26,瓶装水,,,非酒精饮料
26,罐装啤酒,,,酒精饮料
27,酸奶,,,食品类
28,巧克力,,,零食
28,面包卷,,,西点
28,香肠,,,肉类
28,苏打,,,非酒精饮料
29,其他蔬菜,,,果蔬
30,黑面包,,,西点
30,罐装啤酒,,,酒精饮料
30,水果/蔬菜汁,,,非酒精饮料
30,报纸,,,百货
30,购物袋,,,百货
30,苏打,,,非酒精饮料
31,一般饮料,,,非酒精饮料
31,瓶装水,,,非酒精饮料
31,特制门锁,,,百货
31,酸奶,,,食品类
32,瓶装水,,,非酒精饮料
32,汉堡肉,,,肉类
32,卫生用品,,,百货
32,餐巾,,,百货
32,其他蔬菜,,,果蔬
32,面包卷,,,西点
32,香辛料,,,米粮调料
33,一般饮料,,,非酒精饮料
33,其他蔬菜,,,果蔬
33,根茎类蔬菜,,,果蔬
33,糖,,,米粮调料
33,全脂牛奶,,,非酒精饮料
34,腐蚀性清洁剂,,,百货
34,甜味剂,,,米粮调料
34,莓果,,,果蔬
34,其他蔬菜,,,果蔬
34,猪肉,,,肉类
34,苏打,,,非酒精饮料
34,酸奶油,,,米粮调料
34,全脂牛奶,,,非酒精饮料
35,牛肉,,,肉类
35,一般清洁剂,,,百货
35,葡萄,,,果蔬
36,糕点,,,西点
36,苏打,,,非酒精饮料
37,水果/蔬菜汁,,,非酒精饮料
38,罐装啤酒,,,酒精饮料
39,甜点,,,西点
39,其他蔬菜,,,果蔬
39,根茎类蔬菜,,,果蔬
39,全脂牛奶,,,非酒精饮料
40,柑橘类水果,,,果蔬
40,报纸,,,百货
40,面包干,,,西点
41,罐装啤酒,,,酒精饮料
41,面包卷,,,西点
41,香肠,,,肉类
41,购物袋,,,百货
41,苏打,,,非酒精饮料
41,特制门锁,,,百货
42,黑面包,,,西点
42,糖果,,,零食
42,谷物,,,米粮调料
42,咖啡,,,非酒精饮料
42,本地蛋类,,,肉类
42,糕点,,,西点
42,根茎类蔬菜,,,果蔬
42,苏打,,,非酒精饮料
42,糖,,,米粮调料
42,热带水果,,,果蔬
42,威化饼,,,西点
42,全脂牛奶,,,非酒精饮料
42,酸奶,,,食品类
43,莓果,,,果蔬
43,酸奶,,,食品类
44,罐装啤酒,,,酒精饮料
45,瓶装水,,,非酒精饮料
45,酪,,,西点
45,奶油乳酪,,,西点
45,报纸,,,百货
45,面包卷,,,西点
45,苏打,,,非酒精饮料
45,水果奶油涂抹酱,,,米粮调料
45,酸奶,,,食品类
46,咖啡,,,非酒精饮料
47,瓶装水,,,非酒精饮料
47,糕点,,,西点
48,面包卷,,,西点
49,其他饮料,,,非酒精饮料
50,瓶装水,,,非酒精饮料
50,黄油,,,米粮调料
50,凝乳,,,米粮调料
50,硬奶酪,,,西点
50,长面包,,,非酒精饮料
50,其他蔬菜,,,果蔬
50,面包卷,,,西点
50,根茎类蔬菜,,,果蔬
50,超高温杀菌的牛奶,,,非酒精饮料
50,酸奶油,,,米粮调料
51,猫食,,,百货
51,报纸,,,百货
51,面包卷,,,西点
51,香肠,,,肉类
52,罐装啤酒,,,酒精饮料
53,葡萄,,,果蔬
53,火腿,,,肉类
53,其他蔬菜,,,果蔬
53,全脂牛奶,,,非酒精饮料
54,发酵粉,,,米粮调料
54,黑面包,,,西点
54,凝乳,,,米粮调料
54,本地蛋类,,,肉类
54,水果/蔬菜汁,,,非酒精饮料
54,人造黄油,,,米粮调料
54,其他蔬菜,,,果蔬
54,半成品面包,,,西点
54,热带水果,,,果蔬
54,火鸡,,,肉类
55,腌菜,,,Types
