ID ,Goods
1,提子土司
1,纯牛奶
2,提拉米苏
2,三明治
2,纯牛奶
3,蒜香芝士面包
3,肉松面包
3,豆浆
4,三明治
4,汉堡包
4,黑森林蛋糕
4,奶茶
5,小麦土司
6,芝士蛋糕
6,黑森林蛋糕
6,红豆酥皮面包
7,酥皮面包
8,蛋挞
8,豆奶
8,纯牛奶
9,热狗
9,咖啡
10,提子土司
10,汉堡包
10,蒜香芝士面包
10,豆奶
10,奶茶
11,榴莲千层
12,小麦土司
12,红豆吐司
12,抹茶蛋糕
13,蛋挞
13,肉松面包
14,蛋挞
14,红豆吐司
14,黑森林蛋糕
14,纯牛奶
14,奶茶
15,红豆吐司
15,榴莲千层
15,纯牛奶
15,咖啡
16,红豆吐司
16,汉堡包
16,蛋挞
16,豆浆
17,抹茶蛋糕
17,豆浆
17,豆奶
18,虎皮蛋糕
18,芝士蛋糕
18,榴莲千层
18,奶茶
18,豆奶
19,红豆酥皮面包
19,红豆吐司
19,豆奶
19,纯牛奶
20,热狗
20,榴莲千层
20,纯牛奶
21,红豆酥皮面包
21,热狗
21,小麦土司
22,蛋挞
22,虎皮蛋糕
22,三明治
23,榴莲千层
23,芝士蛋糕
23,三明治
23,豆浆
23,纯牛奶
24,三明治
24,热狗
24,豆奶
25,虎皮蛋糕
25,豆浆
25,奶茶
26,牛角面包
26,黑森林蛋糕
26,纯牛奶
27,酥皮面包
27,肉松面包
27,虎皮蛋糕
27,咖啡
27,豆浆
28,蛋挞
28,奶茶
29,黑森林蛋糕
29,咖啡
30,提子土司
30,提拉米苏
30,榴莲千层
30,豆浆
30,豆奶
31,肉松面包
31,酥皮面包
31,三明治
32,蛋挞
32,小麦土司
33,提子土司
33,豆奶
34,虎皮蛋糕
34,汉堡包
34,提拉米苏
34,奶茶
35,法棍
35,汉堡包
35,豆奶
36,法棍
36,榴莲千层
36,牛角面包
36,豆奶
36,咖啡
37,蒜香芝士面包
38,抹茶蛋糕
38,豆奶
39,法棍
39,咖啡
39,豆浆
40,酥皮面包
40,榴莲千层
41,肉松面包
41,三明治
41,热狗
41,豆奶
41,纯牛奶
42,小麦土司
42,牛角面包
43,黑森林蛋糕
43,奶茶
44,榴莲千层
44,热狗
44,纯牛奶
45,三明治
45,热狗
45,牛角面包
45,奶茶
45,咖啡
46,三明治
46,提拉米苏
47,提拉米苏
47,法棍
47,肉松面包
47,豆浆
47,咖啡
48,小麦土司
48,奶茶
49,提拉米苏
49,提子土司
49,三明治
49,咖啡
50,酥皮面包
50,蛋挞
50,豆浆
51,三明治
51,热狗
51,奶茶
51,纯牛奶
52,热狗
52,蛋挞
52,酥皮面包
52,奶茶
53,虎皮蛋糕
53,蒜香芝士面包
53,酥皮面包
53,豆浆
54,肉松面包
54,酥皮面包
54,纯牛奶
54,豆浆
55,蛋挞
55,热狗
56,芝士蛋糕
56,红豆酥皮面包
56,纯牛奶
56,豆浆
57,小麦土司
57,牛角面包
58,小麦土司
58,红豆酥皮面包
58,蒜香芝士面包
58,咖啡
58,奶茶
59,提子土司
59,汉堡包
59,蒜香芝士面包
59,咖啡
59,豆奶
60,热狗
60,法棍
60,肉松面包
60,纯牛奶
60,咖啡
